Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Fuel Adjustment,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Intervention State,Mandatory Recovery,Weight Drift (lbs),Cut Intervention Reason,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-25,The Grinder,3,5,184.87,184.79,69.4,91.3,1.93,"Spar Support: push the block forward",spar_support,N/A,7,YES,2585,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Hard Sparring (9)",moderate,54,"Acute load is above the safe training band.","Wrist Circles (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-26,The Grinder,2,5,184.79,184.77,55.1,79.9,1.91,"Recover: execute under intervention cap",recover,4,5.5,YES,2879,NO,aerobic,none,none,0,Normal,"Normal",soft,NO,,"","recovery (5.5) | Technical Sparring (4)",high,64,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (high): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,3,6,184.77,184.77,63.2,90.1,1.80,"Recover: push the block forward",recover,N/A,7,YES,2715,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is elevated and needs monitoring.","Child's Pose (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is elevated and needs monitoring.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is elevated and needs monitoring. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,2,4,184.77,184.82,53.1,81.3,1.90,"Recover: execute under intervention cap",recover,4,5.5,YES,3073,NO,aerobic,none,none,0,Normal,"Normal",soft,NO,,"","recovery (5.5)",high,58,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (high): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,3,5,184.82,184.38,36.7,68.6,1.81,"Cut Protect: execute under intervention cap",cut_protect,4,5.5,YES,1368,NO,aerobic,drift_correction,intensified,185,Normal,"Normal",soft,NO,7.3,"Weight drift +7.3 lb above curve; calories reduced to restore trajectory.","recovery (5.5) | Technical Bag Work (4)",high,60,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4)","Engine detected high risk (high): Acute load is above the safe training band.. Pulled back to cut_protect role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-03-30,The Grinder,4,6,184.38,184.04,63.9,89.2,1.69,"Express: push the block forward",express,8,9.5,YES,1648,NO,aerobic,drift_correction,intensified,185,Normal,"Normal",none,NO,7.4,"Weight drift +7.4 lb above curve; calories reduced to restore trajectory.","recovery (9.5) | Pad Work & Drills (4)",moderate,42,"Acute load is elevated and needs monitoring.","Light Bike Spin (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is elevated and needs monitoring.. Pulled back to express role.","I'm feeling pretty beat up. My acute load is elevated and needs monitoring. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-03-31,The Grinder,3,6,184.04,183.66,46.2,75.9,1.89,"Cut Protect: execute under intervention cap",cut_protect,4,5.5,YES,1627,NO,aerobic,drift_correction,intensified,184,Normal,"Normal",soft,NO,7.6,"Weight drift +7.6 lb above curve; calories reduced to restore trajectory.","recovery (5.5)",high,71,"Acute load is above the safe training band.","Walking (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (high): Acute load is above the safe training band.. Pulled back to cut_protect role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-01,The Grinder,3,5,183.66,183.29,80.4,93.4,1.76,"Spar Support: push the block forward",spar_support,8,9.5,YES,1482,NO,aerobic,drift_correction,intensified,184,Normal,"Normal — prioritize vegetables and whole grains",none,NO,7.8,"Weight drift +7.8 lb above curve; calories reduced to restore trajectory.","recovery (9.5) | Hard Sparring (5)",moderate,43,"Acute load is elevated and needs monitoring.","Couch Stretch (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is elevated and needs monitoring.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is elevated and needs monitoring. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-02,The Grinder,1,2,183.29,182.89,66.3,71.0,1.93,"Recover: mandatory recovery lock",recover,2,3.5,YES,1531,NO,aerobic,drift_correction,intensified,184,Normal,"Normal — prioritize vegetables and whole grains",hard,YES,7.9,"Weight drift +7.9 lb above curve; calories reduced to restore trajectory.","recovery (3.5)",critical,87,"Glycogen stores are critically depleted.","Thoracic Spine Rotation (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (critical): Glycogen stores are critically depleted.. Pulled back to recover role.","I'm feeling pretty beat up. My glycogen stores are critically depleted. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-03,The Grinder,3,5,182.89,182.47,50.1,58.5,1.71,"Cut Protect: execute under intervention cap",cut_protect,4,5.5,YES,1439,NO,aerobic,drift_correction,intensified,183,Normal,"Normal — prioritize vegetables and whole grains",soft,NO,8.1,"Weight drift +8.1 lb above curve; calories reduced to restore trajectory.","recovery (5.5)",high,63,"Glycogen stores are critically depleted.","Pigeon Stretch (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4)","Engine detected high risk (high): Glycogen stores are critically depleted.. Pulled back to cut_protect role.","I'm feeling pretty beat up. My glycogen stores are critically depleted. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-04,The Grinder,3,4,182.47,182.09,87.0,95.1,1.58,"Express: push the block forward",express,8,9.5,YES,1530,NO,aerobic,drift_correction,intensified,183,Normal,"Normal — prioritize vegetables and whole grains",none,NO,8.2,"Weight drift +8.2 lb above curve; calories reduced to restore trajectory.","recovery (9.5)",moderate,47,"Glycogen stores are critically depleted.","Child's Pose (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Glycogen stores are critically depleted.. Pulled back to express role.","I'm feeling pretty beat up. My glycogen stores are critically depleted. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-05,The Grinder,2,4,182.09,181.76,66.1,68.5,1.95,"Recover: mandatory recovery lock",recover,2,3.5,YES,1559,NO,aerobic,drift_correction,fight_week_load,318,Normal,"Normal — slight reduction from usual",hard,YES,8.3,"Weight drift +8.3 lb above curve; calories reduced to restore trajectory.","recovery (3.5)",critical,100,"Central fatigue is above 85 and needs intervention.","Hip Circles (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (critical): Central fatigue is above 85 and needs intervention.. Pulled back to recover role.","I'm feeling pretty beat up. My central fatigue is above 85 and needs intervention. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-06,The Grinder,2,6,181.76,181.40,51.6,57.0,1.69,"Cut Protect: execute under intervention cap",cut_protect,4,5.5,YES,1520,NO,aerobic,drift_correction,fight_week_load,316,Normal,"Normal — slight reduction from usual",soft,NO,8.6,"Weight drift +8.6 lb above curve; calories reduced to restore trajectory.","recovery (5.5) | Pad Work & Drills (4)",high,73,"Glycogen stores are critically depleted.","World's Greatest Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (high): Glycogen stores are critically depleted.. Pulled back to cut_protect role.","I'm feeling pretty beat up. My glycogen stores are critically depleted. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-07,The Grinder,4,4,181.40,181.01,38.9,46.6,1.57,"Cut Protect: execute under intervention cap",cut_protect,4,5.5,YES,1356,NO,aerobic,drift_correction,fight_week_load,237,Normal,"Reduce to under 15g — minimize vegetables and legumes",soft,NO,8.7,"Weight drift +8.7 lb above curve; calories reduced to restore trajectory.","recovery (5.5)",high,59,"Glycogen stores are critically depleted.","Light Bike Spin (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (high): Glycogen stores are critically depleted.. Pulled back to cut_protect role.","I'm feeling pretty beat up. My glycogen stores are critically depleted. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | risk: Risk control"
2026-04-08,The Grinder,3,4,181.01,180.63,45.3,59.5,1.47,"Cut Protect: push the block forward",cut_protect,4,5.5,YES,1386,NO,aerobic,drift_correction,fight_week_load,237,Normal,"Reduce to under 15g — minimize vegetables and legumes",none,NO,8.9,"Weight drift +8.9 lb above curve; calories reduced to restore trajectory.","sport_specific (5.5) | Hard Sparring (4)",low,32,"Glycogen stores are critically depleted.","Neck Bridge (3x1 @ RPE 7) | Neck Harness (3x1 @ RPE 7) | Jump Rope (3x1 @ RPE 7) | Footwork Ladder Drills (3x1 @ RPE 7) | Shuttle Runs (3x1 @ RPE 7) | Road Run (3x1 @ RPE 7)","Steady state progression. Maintaining cut_protect volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority"
2026-04-09,The Grinder,3,4,180.63,178.17,47.3,40.3,1.60,"Cut Protect: push the block forward",cut_protect,3,4.5,YES,786,NO,aerobic,drift_correction,fight_week_cut,64,500,"Zero — white rice, white bread only if eating",none,NO,9,"","recovery (4.5) | Technical Sparring (3)",moderate,52,"Glycogen stores are critically depleted.","Band Pull-Aparts (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4)","Engine detected high risk (moderate): Glycogen stores are critically depleted.. Pulled back to cut_protect role.","I'm feeling pretty beat up. My glycogen stores are critically depleted. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | hydration: Sodium restriction | risk: Risk control"
2026-04-10,The Grinder,4,6,178.17,175.76,63.3,44.0,1.40,"Cut Protect: push the block forward",cut_protect,3,4.5,YES,623,NO,aerobic,drift_correction,fight_week_cut,32,Normal,"Zero — white rice, white bread only if eating",none,NO,7.1,"","full_body (4.5)",low,34,"Glycogen stores are critically depleted.","Wrist Roller (3x1 @ RPE 7) | Slip Rope Drill (3x1 @ RPE 7) | Body Shot Bag Work (3x1 @ RPE 7) | Defensive Drill — Rolls & Slips (3x1 @ RPE 7) | Sit-ups — Fighter Style (3x1 @ RPE 7) | Floor Press (3x6 @ RPE 7)","Steady state progression. Maintaining cut_protect volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | hydration: Sodium restriction"
2026-04-11,The Grinder,2,6,175.76,174.06,79.1,47.5,1.44,"Cut Protect: push the block forward",cut_protect,3,4.5,YES,592,NO,aerobic,drift_correction,fight_week_cut,16,Normal,"Zero — white rice, white bread only if eating",none,NO,5.3,"","conditioning (4.5)",moderate,50,"Glycogen stores are critically depleted.","Ski Erg Intervals (3x1 @ RPE 7) | Sled Pull (3x1 @ RPE 7) | Assault Bike Intervals (3x1 @ RPE 7) | Farmer's Walk (3x1 @ RPE 7) | Kettlebell Swing (3x8 @ RPE 7) | Battle Ropes — Alternating (3x1 @ RPE 7)","Engine detected high risk (moderate): Glycogen stores are critically depleted.. Pulled back to cut_protect role.","I'm feeling pretty beat up. My glycogen stores are critically depleted. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Cut protocol authority | hydration: Sodium restriction | risk: Risk control"
