Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Grinder,1,4,185.15,185.14,91.6,95.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2549,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,2,185.14,185.15,94.6,96.7,1.95,"Recover: push the block forward",recover,N/A,8,YES,2460,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,2,3,185.15,185.22,92.5,95.5,1.97,"Recover: push the block forward",recover,N/A,8,YES,2691,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,1,3,185.22,185.37,93.8,96.3,1.96,"Recover: push the block forward",recover,N/A,8,YES,3048,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,1,3,185.37,185.29,93.2,95.9,1.96,"Recover: push the block forward",recover,N/A,8,YES,2263,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-31,The Grinder,1,4,185.29,185.36,89.4,93.7,1.96,"Recover: push the block forward",recover,N/A,8,YES,2625,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Grinder,1,3,185.36,185.24,93.2,95.9,1.94,"Recover: push the block forward",recover,N/A,8,YES,2189,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Wrist Circles (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Grinder,1,4,185.24,185.20,91.2,94.7,1.96,"Recover: push the block forward",recover,N/A,8,YES,2394,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-03,The Grinder,1,2,185.20,185.30,95.7,97.4,1.95,"Recover: push the block forward",recover,N/A,8,YES,3000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Grinder,1,4,185.30,185.46,89.0,93.4,1.97,"Recover: push the block forward",recover,N/A,8,YES,3000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Grinder,1,4,185.46,185.30,89.7,93.8,1.93,"Recover: push the block forward",recover,N/A,8,YES,2076,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Grinder,1,4,185.30,185.41,89.3,93.6,1.94,"Recover: push the block forward",recover,N/A,8,YES,2711,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Grinder,1,4,185.41,185.39,89.8,93.9,1.94,"Recover: push the block forward",recover,N/A,8,YES,2262,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Grinder,2,4,185.39,185.49,89.3,93.6,1.94,"Recover: push the block forward",recover,N/A,8,YES,2693,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Foam Rolling — Full Body (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Grinder,2,3,185.49,185.45,93.3,96.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2481,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Grinder,1,4,185.45,185.41,89.0,93.4,1.96,"Recover: push the block forward",recover,N/A,8,YES,2335,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Grinder,2,3,185.41,185.39,91.4,94.8,1.93,"Recover: push the block forward",recover,N/A,8,YES,2416,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Grinder,2,4,185.39,185.40,89.7,93.8,1.95,"Recover: push the block forward",recover,N/A,8,YES,2682,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
