Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Grinder,2,2,185.18,185.18,95.0,97.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,4,185.18,185.10,90.0,94.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2239,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,2,3,185.10,185.10,92.5,95.5,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,2,4,185.10,185.10,90.0,94.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,1,4,185.10,185.10,90.0,94.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-31,The Grinder,2,3,185.10,185.10,92.5,95.5,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Grinder,2,3,185.10,185.10,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Grinder,1,3,185.10,185.10,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-03,The Grinder,1,3,185.10,185.10,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Grinder,1,3,185.10,185.10,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Grinder,1,4,185.10,185.10,90.0,94.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Grinder,1,3,185.10,185.10,92.5,95.5,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Grinder,2,4,185.10,185.10,90.0,94.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Grinder,2,2,185.10,185.24,95.0,97.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2988,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Grinder,2,3,185.24,185.24,92.5,95.5,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Grinder,1,3,185.24,185.24,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Grinder,2,4,185.24,185.24,90.0,94.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Grinder,1,2,185.24,185.24,95.0,97.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
