Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Grinder,2,4,184.70,184.74,88.4,93.0,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,3011,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | SKIPPED: Hard Sparring (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,2,184.74,184.77,94.2,96.5,1.93,"Spar Support: push the block forward",spar_support,5,6.5,YES,2914,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (5.160135923846849)",moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,2,4,184.77,184.80,89.9,93.9,1.97,"Recover: push the block forward",recover,5,6.5,YES,2929,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,1,3,184.80,184.68,91.6,95.0,1.94,"Recover: push the block forward",recover,5,6.5,YES,2616,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,2,4,184.68,184.59,90.3,94.2,1.95,"Recover: push the block forward",recover,5,6.5,YES,2672,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | SKIPPED: Technical Bag Work (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-03-31,The Grinder,2,2,184.59,184.57,94.2,96.5,1.94,"Recover: push the block forward",recover,5,6.5,YES,2665,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | SKIPPED: Pad Work & Drills (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-01,The Grinder,1,3,184.57,184.52,93.5,96.1,1.97,"Recover: push the block forward",recover,5,6.5,YES,2686,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-02,The Grinder,1,3,184.52,184.37,93.0,95.8,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2486,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | SKIPPED: Hard Sparring (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-03,The Grinder,2,3,184.37,184.28,93.7,96.2,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2481,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | SKIPPED: Technical Sparring (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-04,The Grinder,2,3,184.28,184.22,92.3,95.4,1.96,"Recover: push the block forward",recover,5,6.5,YES,2646,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-05,The Grinder,1,3,184.22,184.21,92.5,95.5,1.95,"Recover: push the block forward",recover,5,6.5,YES,2769,NO,aerobic,chronic,168,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-06,The Grinder,2,3,184.21,184.12,92.0,95.2,1.95,"Recover: push the block forward",recover,5,6.5,YES,2567,NO,aerobic,fight_week_load,320,Normal,"Normal — slight reduction from usual","recovery (6.5) | SKIPPED: Technical Bag Work (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-07,The Grinder,2,3,184.12,184.21,93.5,96.1,1.95,"Recover: push the block forward",recover,5,6.5,YES,3273,NO,aerobic,fight_week_load,320,Normal,"Normal — slight reduction from usual","recovery (6.5) | SKIPPED: Pad Work & Drills (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-08,The Grinder,2,4,184.21,184.13,91.0,94.6,1.96,"Recover: push the block forward",recover,5,6.5,YES,2719,NO,aerobic,fight_week_load,240,Normal,"Reduce to under 15g — minimize vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-09,The Grinder,1,3,184.13,184.11,92.3,95.4,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,2687,NO,aerobic,fight_week_load,240,Normal,"Reduce to under 15g — minimize vegetables and legumes","recovery (6.5) | SKIPPED: Hard Sparring (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-10,The Grinder,1,2,184.11,181.17,95.6,97.4,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,741,NO,aerobic,fight_week_cut,64,500,"Zero — white rice, white bread only if eating","recovery (6.5) | SKIPPED: Technical Sparring (Extreme Fatigue/Cut) (0)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-11,The Grinder,1,3,181.17,179.30,92.2,95.3,1.97,"Recover: push the block forward",recover,5,6.5,YES,613,NO,aerobic,fight_week_cut,32,Normal,"Zero — white rice, white bread only if eating","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-12,The Grinder,2,4,179.30,177.10,88.5,93.1,1.95,"Recover: push the block forward",recover,5,6.5,YES,628,NO,aerobic,fight_week_cut,16,Normal,"Zero — white rice, white bread only if eating","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
