Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Grinder,1,2,185.83,185.85,95.6,97.3,1.95,"Recover: push the block forward",recover,5,6.5,YES,2438,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,2,2,185.85,185.74,94.1,96.5,1.97,"Recover: push the block forward",recover,5,6.5,YES,2270,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,1,2,185.74,185.84,94.2,96.5,1.96,"Recover: push the block forward",recover,5,6.5,YES,2689,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,1,2,185.84,185.84,95.4,97.2,1.97,"Recover: push the block forward",recover,5,6.5,YES,2585,NO,aerobic,moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,1,3,185.84,185.90,92.3,95.4,1.97,"Recover: push the block forward",recover,5,6.5,YES,2673,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-31,The Grinder,2,3,185.90,185.94,93.3,96.0,1.95,"Recover: push the block forward",recover,5,6.5,YES,2624,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Grinder,2,3,185.94,186.02,92.0,95.2,1.96,"Recover: push the block forward",recover,5,6.5,YES,2730,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Grinder,2,3,186.02,185.91,92.6,95.6,1.95,"Recover: push the block forward",recover,5,6.5,YES,2254,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-03,The Grinder,1,4,185.91,185.93,90.6,94.4,1.96,"Recover: push the block forward",recover,5,6.5,YES,2447,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Grinder,1,3,185.93,185.91,91.1,94.7,1.94,"Recover: push the block forward",recover,5,6.5,YES,2365,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Grinder,2,3,185.91,185.92,91.2,94.7,1.95,"Recover: push the block forward",recover,5,6.5,YES,2531,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Grinder,1,2,185.92,185.92,94.5,96.7,1.95,"Recover: push the block forward",recover,5,6.5,YES,2361,NO,aerobic,moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Grinder,1,2,185.92,185.89,95.6,97.4,1.97,"Recover: push the block forward",recover,5,6.5,YES,2309,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Grinder,1,2,185.89,185.93,94.2,96.5,1.97,"Recover: push the block forward",recover,5,6.5,YES,2736,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Grinder,1,4,185.93,185.91,90.2,94.1,1.97,"Recover: push the block forward",recover,5,6.5,YES,2318,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Grinder,2,4,185.91,185.88,88.6,93.2,1.94,"Recover: push the block forward",recover,5,6.5,YES,2331,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Grinder,1,2,185.88,185.87,95.4,97.2,1.93,"Recover: push the block forward",recover,5,6.5,YES,2416,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Grinder,2,3,185.87,185.82,93.2,95.9,1.97,"Recover: push the block forward",recover,5,6.5,YES,2479,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
