Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Grinder,2,3,185.20,185.25,91.8,95.1,1.98,"Spar Support: push the block forward",spar_support,5,6.5,YES,3083,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Hard Sparring (7.412238620046264)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,3,185.25,185.30,92.6,95.6,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,3042,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (4.818051018016092)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,1,4,185.30,185.33,91.3,94.8,1.96,"Recover: push the block forward",recover,5,6.5,YES,3002,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,2,3,185.33,185.32,93.7,96.2,1.95,"Recover: push the block forward",recover,5,6.5,YES,2853,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,1,2,185.32,185.23,95.3,97.2,1.96,"Recover: push the block forward",recover,5,6.5,YES,2659,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Technical Bag Work (4.633995405189674)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-03-31,The Grinder,1,3,185.23,185.12,92.4,95.4,1.97,"Recover: push the block forward",recover,5,6.5,YES,2403,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Pad Work & Drills (5.471757823089564)",moderate,40,"Acute load is above the safe training band.","Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-01,The Grinder,1,3,185.12,185.02,91.1,94.7,1.95,"Recover: push the block forward",recover,5,6.5,YES,2415,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-02,The Grinder,2,3,185.02,184.88,93.5,96.1,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,2435,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Hard Sparring (7.885699682307839)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-03,The Grinder,1,3,184.88,184.79,93.2,95.9,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2415,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Technical Sparring (4.651247826383129)",moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-04,The Grinder,1,3,184.79,184.63,91.0,94.6,1.96,"Recover: push the block forward",recover,5,6.5,YES,2403,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-05,The Grinder,2,4,184.63,184.55,91.9,95.2,1.95,"Recover: push the block forward",recover,5,6.5,YES,2712,NO,aerobic,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-06,The Grinder,1,2,184.55,184.48,95.1,97.1,1.95,"Recover: push the block forward",recover,5,6.5,YES,2593,NO,aerobic,fight_week_load,322,Normal,"Normal — slight reduction from usual","recovery (6.5) | Technical Bag Work (4.8051694184944225)",moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-07,The Grinder,1,3,184.48,184.38,91.3,94.8,1.97,"Recover: push the block forward",recover,5,6.5,YES,2557,NO,aerobic,fight_week_load,322,Normal,"Normal — slight reduction from usual","recovery (6.5) | Pad Work & Drills (5.491634534242161)",moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-08,The Grinder,1,3,184.38,184.42,92.6,95.5,1.95,"Recover: push the block forward",recover,5,6.5,YES,3035,NO,aerobic,fight_week_load,242,Normal,"Reduce to under 15g — minimize vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Foam Rolling — Full Body (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-09,The Grinder,1,4,184.42,184.37,90.6,94.4,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2666,NO,aerobic,fight_week_load,242,Normal,"Reduce to under 15g — minimize vegetables and legumes","recovery (6.5) | Hard Sparring (7.742850006428036)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-10,The Grinder,2,3,184.37,182.53,92.7,95.6,1.94,"Spar Support: push the block forward",spar_support,5,6.5,YES,816,NO,aerobic,fight_week_cut,64,500,"Zero — white rice, white bread only if eating","recovery (6.5) | Technical Sparring (4)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-11,The Grinder,2,3,182.53,180.41,92.8,95.7,1.96,"Recover: push the block forward",recover,5,6.5,YES,592,NO,aerobic,fight_week_cut,32,Normal,"Zero — white rice, white bread only if eating","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-12,The Grinder,2,3,180.41,178.57,93.8,96.3,1.96,"Recover: push the block forward",recover,5,6.5,YES,652,NO,aerobic,fight_week_cut,16,Normal,"Zero — white rice, white bread only if eating","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
