Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-31,The Grinder,2,2,185.03,185.03,95.0,97.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Grinder,2,2,185.03,185.03,95.0,97.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Grinder,2,2,185.03,185.06,95.0,97.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2601,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-03,The Grinder,1,2,185.06,185.06,95.0,97.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Grinder,1,4,185.06,185.06,90.0,94.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Grinder,1,2,185.06,184.94,95.0,97.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2103,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Grinder,2,4,184.94,184.94,90.0,94.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Grinder,1,3,184.94,184.94,92.5,95.5,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Grinder,2,2,184.94,184.94,95.0,97.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Grinder,1,2,184.94,184.94,95.0,97.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Grinder,1,2,184.94,184.94,95.0,97.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Grinder,2,4,184.94,184.94,90.0,94.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Grinder,2,2,184.94,184.94,95.0,97.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
