Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Decision Trace (Full)
2026-04-03,The Binger,6,7,187.75,187.74,9.5,89.5,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Binger,7,7,187.75,187.68,10.0,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2293,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Binger,6,8,187.75,187.68,8.0,88.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Binger,7,6,187.75,187.68,11.0,91.0,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Binger,6,7,187.75,187.68,11.5,89.5,1.91,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Binger,6,8,187.75,187.75,9.5,88.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2733,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Binger,6,6,187.75,187.75,12.5,91.0,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Binger,7,8,187.75,187.75,10.5,88.0,1.91,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Binger,6,7,187.75,187.75,11.0,89.5,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Binger,6,6,187.75,187.75,14.0,91.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
