Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Grinder,1,3,186.22,186.21,93.8,96.3,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,2556,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Hard Sparring (9)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,2,186.21,186.21,94.7,96.8,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2438,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,1,4,186.21,186.49,90.6,94.4,1.97,"Recover: push the block forward",recover,5,6.5,YES,3509,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,2,4,186.49,186.64,91.1,94.6,1.94,"Recover: push the block forward",recover,5,6.5,YES,2931,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,1,4,186.64,186.70,89.2,93.5,1.95,"Recover: push the block forward",recover,5,6.5,YES,2822,NO,aerobic,chronic,171,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-03-31,The Grinder,2,4,186.70,186.67,88.6,93.2,1.94,"Recover: push the block forward",recover,5,6.5,YES,2560,NO,aerobic,chronic,171,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Pad Work & Drills (7)",moderate,40,"Acute load is above the safe training band.","Foam Rolling — Full Body (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-01,The Grinder,1,3,186.67,186.76,93.8,96.3,1.93,"Recover: push the block forward",recover,5,6.5,YES,2750,NO,aerobic,chronic,171,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-02,The Grinder,2,3,186.76,186.79,92.0,95.2,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2540,NO,aerobic,chronic,171,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Hard Sparring (9)",moderate,40,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-03,The Grinder,1,4,186.79,186.89,88.5,93.1,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,2748,NO,aerobic,chronic,171,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-04,The Grinder,3,3,186.89,186.94,92.2,95.3,1.93,"Recover: push the block forward",recover,5,6.5,YES,2587,NO,aerobic,chronic,171,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-05,The Grinder,2,3,186.94,187.09,92.3,95.4,1.95,"Recover: push the block forward",recover,5,6.5,YES,2930,NO,aerobic,chronic,171,Normal,"Normal — prioritize fiber-rich vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-06,The Grinder,1,3,187.09,187.07,91.2,94.7,1.95,"Recover: push the block forward",recover,5,6.5,YES,2570,NO,aerobic,fight_week_load,326,Normal,"Normal — slight reduction from usual","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Dead Hang (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-07,The Grinder,1,2,187.07,187.05,94.4,96.6,1.95,"Recover: push the block forward",recover,5,6.5,YES,2542,NO,aerobic,fight_week_load,326,Normal,"Normal — slight reduction from usual","recovery (6.5) | Pad Work & Drills (7)",moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-08,The Grinder,1,3,187.05,187.14,93.5,96.1,1.97,"Recover: push the block forward",recover,5,6.5,YES,2708,NO,aerobic,fight_week_load,245,Normal,"Reduce to under 15g — minimize vegetables and legumes","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Yoga Flow (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-09,The Grinder,2,4,187.14,187.24,89.0,93.4,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2857,NO,aerobic,fight_week_load,245,Normal,"Reduce to under 15g — minimize vegetables and legumes","recovery (6.5) | Hard Sparring (9)",moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-10,The Grinder,2,3,187.24,185.82,92.1,95.3,1.93,"Spar Support: push the block forward",spar_support,5,6.5,YES,2693,NO,aerobic,fight_week_cut,64,500,"Zero — white rice, white bread only if eating","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Light Shadow Boxing (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-11,The Grinder,2,4,185.82,184.37,90.1,94.1,1.95,"Recover: push the block forward",recover,5,6.5,YES,2685,NO,aerobic,fight_week_cut,32,Normal,"Zero — white rice, white bread only if eating","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-12,The Grinder,2,3,184.37,183.06,93.2,95.9,1.94,"Recover: push the block forward",recover,5,6.5,YES,2861,NO,aerobic,fight_week_cut,16,Normal,"Zero — white rice, white bread only if eating","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
