Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Fuel Adjustment,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Intervention State,Mandatory Recovery,Weight Drift (lbs),Cut Intervention Reason,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-25,The Grinder,2,4,185.52,185.58,88.0,92.8,1.96,"Spar Support: push the block forward",spar_support,N/A,7,YES,2956,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-26,The Grinder,1,3,185.58,185.61,92.5,95.5,1.93,"Spar Support: push the block forward",spar_support,N/A,7,YES,3027,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,4,185.61,185.52,88.3,93.0,1.95,"Recover: push the block forward",recover,N/A,7,YES,2727,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,1,4,185.52,185.54,88.2,92.9,1.93,"Recover: push the block forward",recover,N/A,7,YES,2842,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,2,2,185.54,185.55,95.0,97.0,1.93,"Recover: push the block forward",recover,N/A,7,YES,2781,NO,aerobic,none,chronic,170,Normal,"Normal — prioritize fiber-rich vegetables and legumes",none,NO,NaN,"","recovery (7) | Technical Bag Work (4)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-03-30,The Grinder,1,2,185.55,185.57,95.4,97.2,1.97,"Recover: push the block forward",recover,N/A,7,YES,2783,NO,aerobic,none,chronic,170,Normal,"Normal — prioritize fiber-rich vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-03-31,The Grinder,1,2,185.57,185.50,94.1,96.4,1.97,"Recover: push the block forward",recover,N/A,7,YES,2675,NO,aerobic,none,chronic,170,Normal,"Normal — prioritize fiber-rich vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Light Shadow Boxing (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-01,The Grinder,1,4,185.50,185.41,90.9,94.5,1.96,"Spar Support: push the block forward",spar_support,N/A,7,YES,2436,NO,aerobic,none,chronic,170,Normal,"Normal — prioritize fiber-rich vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-02,The Grinder,2,2,185.41,185.31,95.0,97.0,1.95,"Spar Support: push the block forward",spar_support,N/A,7,YES,2576,NO,aerobic,none,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-03,The Grinder,1,2,185.31,185.28,95.1,97.0,1.97,"Recover: push the block forward",recover,N/A,7,YES,2934,NO,aerobic,none,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-04,The Grinder,1,3,185.28,185.01,91.7,95.0,1.97,"Recover: push the block forward",recover,N/A,7,YES,1919,NO,aerobic,none,chronic,169,Normal,"Normal — prioritize fiber-rich vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-05,The Grinder,2,3,185.01,185.03,91.2,94.7,1.95,"Recover: push the block forward",recover,N/A,7,YES,2930,NO,aerobic,none,fight_week_load,322,Normal,"Normal — slight reduction from usual",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-06,The Grinder,1,2,185.03,184.95,94.1,96.5,1.95,"Recover: push the block forward",recover,N/A,7,YES,2576,NO,aerobic,none,fight_week_load,322,Normal,"Normal — slight reduction from usual",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-07,The Grinder,1,2,184.95,184.85,94.1,96.4,1.96,"Recover: push the block forward",recover,N/A,7,YES,2521,NO,aerobic,none,fight_week_load,242,Normal,"Reduce to under 15g — minimize vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-08,The Grinder,2,2,184.85,184.84,94.3,96.6,1.96,"Spar Support: push the block forward",spar_support,N/A,7,YES,2806,NO,aerobic,none,fight_week_load,242,Normal,"Reduce to under 15g — minimize vegetables and legumes",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-09,The Grinder,1,3,184.84,183.11,92.4,95.4,1.97,"Spar Support: push the block forward",spar_support,N/A,7,YES,731,NO,aerobic,none,fight_week_cut,64,500,"Zero — white rice, white bread only if eating",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-10,The Grinder,2,4,183.11,181.09,91.1,94.7,1.95,"Recover: push the block forward",recover,N/A,7,YES,609,NO,aerobic,none,fight_week_cut,32,Normal,"Zero — white rice, white bread only if eating",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-11,The Grinder,2,4,181.09,178.85,89.4,93.6,1.95,"Recover: push the block forward",recover,N/A,7,YES,612,NO,aerobic,none,fight_week_cut,16,Normal,"Zero — white rice, white bread only if eating",none,NO,NaN,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
