Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Grinder,1,3,185.66,185.73,91.3,94.8,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,2602,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Hard Sparring (9)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,3,185.73,185.86,93.0,95.8,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,3037,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,1,3,185.86,185.99,91.3,94.8,1.96,"Recover: push the block forward",recover,5,6.5,YES,2869,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,1,2,185.99,186.07,95.3,97.2,1.95,"Recover: push the block forward",recover,5,6.5,YES,2841,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,2,3,186.07,186.10,93.7,96.2,1.97,"Recover: push the block forward",recover,5,6.5,YES,2526,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-03-31,The Grinder,1,2,186.10,186.21,95.3,97.2,1.96,"Recover: push the block forward",recover,5,6.5,YES,3045,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Pad Work & Drills (7)",moderate,40,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-01,The Grinder,1,3,186.21,186.39,92.8,95.7,1.97,"Recover: push the block forward",recover,5,6.5,YES,2972,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-02,The Grinder,1,3,186.39,186.44,93.6,96.2,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2635,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Hard Sparring (9)",moderate,40,"Acute load is above the safe training band.","Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-03,The Grinder,1,4,186.44,186.52,89.4,93.7,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,2638,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Child's Pose (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-04,The Grinder,2,4,186.52,186.56,91.3,94.8,1.94,"Recover: push the block forward",recover,5,6.5,YES,2800,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-05,The Grinder,1,3,186.56,186.60,92.6,95.5,1.95,"Recover: push the block forward",recover,5,6.5,YES,2587,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-06,The Grinder,2,4,186.60,186.61,88.9,93.4,1.96,"Recover: push the block forward",recover,5,6.5,YES,2567,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-07,The Grinder,2,4,186.61,186.88,89.1,93.5,1.93,"Recover: push the block forward",recover,5,6.5,YES,3300,YES,aerobic,none,0,Normal,"Normal","recovery (6.5) | Pad Work & Drills (7)",moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-08,The Grinder,1,4,186.88,186.98,91.4,94.9,1.93,"Recover: push the block forward",recover,5,6.5,YES,2973,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-09,The Grinder,2,3,186.98,187.00,94.0,96.4,1.95,"Spar Support: push the block forward",spar_support,5,6.5,YES,2533,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Hard Sparring (9)",moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-10,The Grinder,2,3,187.00,187.23,93.4,96.0,1.96,"Spar Support: push the block forward",spar_support,5,6.5,YES,3478,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-11,The Grinder,2,2,187.23,187.40,95.6,97.4,1.96,"Recover: push the block forward",recover,5,6.5,YES,3050,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
2026-04-12,The Grinder,1,3,187.40,187.53,93.5,96.1,1.97,"Recover: push the block forward",recover,5,6.5,YES,2919,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Cut protocol authority | risk: Risk control"
