Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-26,The Binger,6,8,184.76,184.72,3.0,88.0,1.90,"Recover: push the block forward",recover,N/A,6,YES,2375,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Binger,8,7,184.72,185.44,3.5,89.5,1.88,"Recover: push the block forward",recover,N/A,6,YES,5000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Binger,7,7,185.44,185.44,4.0,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Binger,7,7,185.44,185.44,4.5,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Binger,7,6,185.44,185.44,7.5,91.0,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-31,The Binger,6,8,185.44,186.15,5.5,88.0,1.91,"Recover: push the block forward",recover,N/A,6,YES,5000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Binger,7,7,186.15,186.15,6.0,89.5,1.88,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Binger,6,7,186.15,186.15,6.5,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-03,The Binger,6,7,186.15,186.15,7.0,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Binger,6,7,186.15,186.15,7.5,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Binger,8,7,186.15,186.26,8.0,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2904,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Binger,7,7,186.26,186.24,8.5,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2429,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Binger,7,7,186.24,186.24,9.0,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Binger,7,7,186.24,186.17,9.5,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2251,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Binger,6,8,186.17,186.17,7.5,88.0,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Binger,7,8,186.17,186.17,5.5,88.0,1.88,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Binger,7,8,186.17,186.14,3.5,88.0,1.88,"Recover: push the block forward",recover,N/A,6,YES,2369,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Binger,7,6,186.14,186.14,6.5,91.0,1.88,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
