Date,Persona,Readiness Score,Sleep Score,ACWR Ratio,ACWR Status,Mission Headline,Training Role,Prescribed Intensity,Prescribed Duration,Prescribed Focus,Compliance (Did Work?),Actual RPE,Actual Duration,Fuel State,Calories,Protein,Carbs,Fat,Risk Level,Risk Score,Risk Drivers,Decision Trace
2026-04-03,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-04,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-05,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-06,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-07,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-08,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-09,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-10,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-11,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-12,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-13,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-14,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-15,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-16,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-17,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-18,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-19,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-20,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-21,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-22,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-23,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-24,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-25,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-26,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-27,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-28,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-29,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-04-30,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-01,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-02,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-03,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-04,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-05,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-06,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-07,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-08,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-09,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-05-10,The Perfect Student,8,8,1,safe,"Develop: push the block forward",develop,N/A,N/A,N/A,YES,6,60,aerobic,2500,180,300,70,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
