Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Decision Trace (Full)
2026-03-28,The Binger,6,8,185.53,185.53,4.0,88.0,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Binger,7,7,185.53,185.53,4.5,89.5,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Binger,6,8,185.53,185.56,2.5,88.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2589,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-31,The Binger,7,7,185.56,185.56,3.0,89.5,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Binger,6,7,185.56,186.27,3.5,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,5000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Binger,7,8,186.27,186.26,1.5,88.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2454,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-03,The Binger,7,8,186.26,186.26,0.0,88.0,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Binger,7,6,186.26,186.26,3.0,91.0,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Binger,7,7,186.26,186.26,3.5,89.5,1.91,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Binger,6,7,186.26,186.26,4.0,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Binger,8,6,186.26,186.17,7.0,91.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2189,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Binger,7,6,186.17,186.17,10.0,91.0,1.91,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Binger,7,7,186.17,186.10,10.5,89.5,1.91,"Develop: push the block forward",develop,N/A,6,YES,2241,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Binger,7,8,186.10,186.10,8.5,88.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Binger,7,8,186.10,186.10,6.5,88.0,1.88,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Binger,6,7,186.10,186.81,7.0,89.5,1.88,"Develop: push the block forward",develop,N/A,6,YES,5000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
